6115	Nature	热图	单细胞表观基因组染色质状态分段	基因组各区域在不同细胞类型的染色质状态	Teal,Coral,Stone	White	热力网格	高亮细胞类型特异状态	标注染色质状态和基因	网格+01	Roboto 7/5	上→下基因组+左→右状态	单细胞,表观基因组,染色质,分段	nature-figure
5853	Science	雷达图	多物种大脑区域基因表达谱对比	不同物种脑区基因表达模式多维对比	Teal,Coral,Stone	White	6轴雷达	突出种间差异最大的轴	标注保守和特异基因	单中心-01	Roboto 7/5	中心→外围逐轴	大脑,物种,基因,雷达	nature-figure
2101	NEJM	森林图	临床试验Meta分析汇总	多研究效应量+置信区间	#C62828,#E53935,#424242,#BDBDBD	white	水平线+方块	高亮汇总效应	标注HR+CI	单栏	正文8pt	从上到下研究	NEJM、临床、森林图、Meta	nature-figure
5983	Nature	气泡图	多组学分子分型预后关联矩阵	横轴分子亚型纵轴临床终点气泡=HR	Teal,Coral,Stone	White	矩阵气泡	高亮预后差异最大的亚型	标注 HR 和 p 值	网格+01	Roboto 7/5	矩阵扫描预后差异	多组学,分子分型,预后,矩阵	nature-figure
5986	Cell	小提琴图	单细胞多组学免疫细胞亚型分布	免疫细胞各亚型在不同组织的分布密度	Teal,Sky,Coral	White	小提琴+散点	高亮组织特异亚型	标注细胞亚型和数量	并列比较+01	Roboto 7/5	左→右逐组织对比	单细胞,免疫,亚型,分布	nature-figure
5966	Nature	气泡图	药物临床试验终点成功率分析	各期临床试验按治疗领域成功率气泡	Teal,Sky,Stone	White	矩阵气泡	高亮成功率最低的期-领域组合	标注样本量和成功率	网格+01	Roboto 7/5	矩阵逐期扫描	临床试验,终点,成功率,气泡	nature-figure
8935	Lancet	生存曲线	临床试验生存获益	Lancet风格临床试验中治疗组vs对照组的主要终点生存曲线	蓝vs红	白	line	高标生存获益	标注HR和p值	KM曲线+风险表	10/12 无衬线	时间趋势	临床,试验,生存,Lancet	viz-echarts
6206	Nature	热图	单细胞表观基因组增强子-基因连接	增强子活性与靶基因表达的关联热图	Teal,Coral,Stone	White	热力网格	高亮显著增强子-基因对	标注相关性和距离	网格+01	Roboto 7/5	上→下增强子+左→右基因	单细胞,表观基因组,增强子,连接	nature-figure
13606	Nature	火山图	基因表达	差异基因表达分析显著性	Teal-7	white	volcano plot gene expression	显著标注	标注显著基因	CT-01	Noto Sans 9	散点密度	Nature/基因表达/火山图	viz-echarts
11480	Nature	气泡热图	基因-表型关联	基因与表型关联的强度和显著性	Warm-8	white	bubble heatmap gene phenotype	显著关联标注	标注显著	CT-01	Noto Sans 9	网格扫描	Nature/基因表型/气泡热图	viz-echarts
5021	Nature	平行坐标图	多维数据投影	每个维度一条平行轴	Nature多色	白	平行轴+连线	异常轨迹高亮	标注维度	平行坐标	Arial 7pt	从左到右	Nature/平行坐标/多维/投影/轨迹	viz-echarts
6086	Nature	折线图	免疫联合疗法毒性动态监测	联合免疫治疗各毒性指标随时间变化	Coral,Teal,Stone	White	多折线	高亮毒性峰值时间	标注 CTCAE 分级和干预	趋势+01	Roboto 7/5	左→右时间+毒性动态	免疫联合,毒性,监测,动态	nature-figure
6095	Nature	热图	单细胞表观基因组调控元件活性矩阵	增强子/启动子在各细胞类型的活性热图	Teal,Coral,Stone	White	热力网格+聚类	高亮细胞类型特异调控元件	标注靶基因和调控机制	网格+01	Roboto 7/5	聚类引导分区块	单细胞,表观基因组,调控元件,热图	nature-figure
6305	Nature	柱状图	抗体工程可开发性综合评分排名	候选抗体在可开发性多维评分的排名	Teal,Sky,Stone	White	水平条	高亮可开发性最优抗体	标注各维度评分和总分	单中心-01	Roboto 7/5	上→下可开发性排序	抗体工程,可开发性,评分,排名	nature-figure
10956	Science	气泡图	材料发现	x=稳定性 y=合成难度 size=性能	Sky-6	white	bubble material discovery	最优标注	四象限标签	CT-01	Noto Sans 9	象限扫描	Science/材料发现/气泡图	viz-echarts
9866	IDC	柱状图	云服务市场	各云厂商市场份额排行	Teal-7	white	horizontal bar cloud	TOP3标注	标注增速	CT-01	Noto Sans 11	降序	IDC/云服务/柱状图	viz-echarts
2115	Accenture	2x2矩阵	技术价值vs复杂度定位	两维度四象限策略定位	#A100FF,#0076BA,#F5A623,#AAB7B8	white	四象限网格	高亮优先象限	标注象限策略	单栏	正文8pt	从左下到右上	Accenture、技术、矩阵、价值	nature-figure
6565	IDC	柱状图	中国数字化转型投资优先级行业	各行业数字化转型各领域的投资优先级	Sky,Teal,Stone	White	分组柱	高亮投资优先级最高领域	标注优先级评分和预算	并列比较+01	Roboto 7/5	按投资领域分组对比	数字化,转型,投资优先级,中国	nature-figure
10829	McKinsey	桑基图	能源系统	从一次能源到终端使用的全链路	Sky-6	white	sankey energy system	最大流向标注	标注主路	CT-01	Noto Sans 10	从左到右	麦肯锡/能源系统/桑基图	viz-echarts
10499	Bain	旭日图	客户旅程层级	从认知到购买到复购的多层路径	Sky-6	white	sunburst customer journey	主路径标注	标注主路	CT-01	Noto Sans 10	中心向外	贝恩/客户旅程/旭日图	viz-echarts
9865	Forrester	雷达图	数字转型成熟度	战略/客户/运营/技术/数据/人才	Coral-5	white	radar dx	转型领先标注	短板标注	CT-01	Noto Sans 10	中心向外	Forrester/数字转型/雷达图	viz-echarts
5161	Accenture	技术成熟度曲线	Gartner Hype Curve变体	15项技术在成熟度曲线上的位置	rainbow-muted,white	#FFFFFF	钟形曲线	泡沫期标注	标注期望斜率	钟形+标签	7pt sans	左→峰顶→右→谷底	技术成熟度,炒作,期望,生产	viz-echarts
10327	BCG	面积图	颠覆性技术采纳	新技术对旧技术的替代曲线	Stone-6	white	stacked area disruption	交叉点标注	标注交叉	CT-01	Noto Sans 11	时间轴	BCG/颠覆曲线/面积图	viz-echarts
11664	BCG	堆叠面积	趋势分解	多因素趋势的累积贡献分解	Teal-7	white	stacked area trend break	拐点标注	标注拐点	CT-01	Noto Sans 11	时间轴	BCG/趋势分解/堆叠面积	viz-echarts
10909	Gartner	气泡图	AI治理	x=成熟度 y=投入 size=成效	Sky-6	white	bubble ai governance	领先标注	四象限标签	CT-01	Noto Sans 10	象限扫描	Gartner/AI治理/气泡图	viz-echarts
557	PwC	瀑布图+桥接	PwC —《利润变动桥接：从 FY23 到 FY24》	瀑布桥接解释利润增减的驱动因素	#E31837 #007DBA #666666	#FFFFFF	bar	增长用红，减少用蓝，基线用灰	每柱标注驱动因素名	瀑布+N+2 桥接格式	DIN 9/7	第一眼→净变化 → 第二眼→最大贡献因子 → 最终理解→利润驱动	瀑布 桥接 利润变动	viz-echarts
9109	Deloitte	2x2矩阵	技术采用优先级Deloitte	Deloitte式按业务影响和实施难度的技术投资优先级2x2矩阵	蓝四色	白	grid-2x2	高标立即投资区	标注实施路线图	2x2矩阵	10/12 无衬线	四象限定位	技术,采用,优先级,Deloitte	viz-echarts
6421	Accenture	柱状图	AI 采用行业成熟度对标	各行业 AI 采用深度和广度的对标排名	Sky,Teal,Stone	White	分组柱	高亮 AI 采用领先行业	标注采用率和投资规模	并列比较+01	Roboto 7/5	按行业分组对标	AI,采用,行业,成熟度	nature-figure
8857	BCG	瀑布图	价值创造桥BCG	BCG式从期初到期末股东价值创造的各因素分解	深蓝+灰	白	stack	高标最大价值贡献	标注战略杠杆	BCG价值桥	10/12 无衬线	从左到右累积	价值,创造,桥,BCG	viz-echarts
1253	Bain	并购协同效应	《并购价值创造：协同效应拆解堆叠条》	展示并购交易中成本协同、收入协同、财务协同的贡献比例	#1B3A4B #3B7A57 #E8C840 #C0392B	#FFFFFF	stacked	成本协同用绿色高亮	标注预期vs实际协同	堆叠条+预期实际对比	Gotham 9/8	第一眼→成本协同为主 → 第二眼→收入协同不足 → 最终理解→协同实现不均衡	堆叠 并购 协同	viz-echarts
161	KPMG	矩阵表	风险热力评估	风险矩阵	#003087 #58595B #86BC25	#FFFFFF	rect	高风险红色	格子标风险+等级	矩阵	Helvetica 12/10	标题→矩阵→高风险→低	KPMG 矩阵 风险 热力	viz-echarts:generate_heatmap_chart(matrix)
477	McKinsey	条形 Mekko	McKinsey —《区域市场体量 Mekko 条形图》	条形宽度=市场规模，条形内分段=品类构成	#0066FF #00A300 #FFB300	#FFFFFF	rect	最大市场用饱和色	条宽标市场体量，分段标注品类占比	条形 Mekko，宽=体量内=构成	Helvetica Neue 14/10	第一眼→最宽条 → 第二眼→分段构成 → 最终理解→市场体量+结构	麦肯锡 条形Mekko 市场 构成	viz-echarts:generate_mekko_chart(bar)
8862	Bain	折线图	忠诚飞轮Bain	Bain式客户忠诚度对收入增长飞轮效应的追踪	蓝→绿渐变	白	line	高标飞轮加速点	标注留存策略	多线	10/12 无衬线	时间趋势	忠诚,飞轮,Bain,留存	viz-echarts
8230	PwC	面积图	全球娱乐媒体市场	各细分市场的收入规模面积变化	PwC Blue,Orange,Purple	#FFFFFF	堆叠面积	高增长(深蓝)	标注	01-单中心	Source Sans 7/6	左→右	PwC,娱乐媒体,市场	viz-echarts
8317	Forrester	柱状图	技术采用预测	各新技术的5年采用率预测	Forrester Blue,Orange	#FFFFFF	竖向条	高采用(深蓝)	标注预测%	02-双栏	Source Sans 7/6	左→右	Forrester,技术采用,预测	viz-echarts
10659	Accenture	气泡图	元宇宙准备度	x=技术基础 y=业务用例 size=投入	Sky-6	white	bubble metaverse readiness	领先标注	四象限标签	CT-01	Noto Sans 10	象限扫描	埃森哲/元宇宙/气泡图	viz-echarts
9103	McKinsey	柱状图	数字化转型价值	McKinsey式数字化举措对各业务线价值创造的排序对比	深蓝系	白	bar-h	高标最大价值举措	标注实施难度	横向排序	10/12 无衬线	从高到低	数字化,转型,价值,McKinsey	viz-echarts
10024	McKinsey	气泡图	市场吸引力	x=市场规模 y=增速 size=利润率	Warm-8	white	bubble market attractiveness	最优选标注	四象限标签	CT-01	Noto Sans 10	象限扫描	麦肯锡/市场吸引力/气泡图	viz-echarts
5805	KPMG	2x2 矩阵	供应链风险-影响评估矩阵	按风险和影响四象限分类供应链风险	Coral,Stone,Warm	White	四象限	高亮高风险高影响项	标注应对策略建议	2x2矩阵+01	Roboto 7/5	象限定位→逐个要素	供应链,风险,矩阵,优先级	nature-figure
13506	Deloitte	柱状图	科技支出	各行业科技支出占收入比排行	Sky-6	white	horizontal bar deloitte tech spend	TOP标注	标注均值	CT-01	Noto Sans 11	降序	Deloitte/科技支出/柱状图	viz-echarts
10989	Bain	河流图	客户生命周期	客户关系各阶段的收入演变	Coral-5	white	streamgraph lifecycle	拐点标注	标注拐点标	CT-01	Noto Sans 11	时间轴	贝恩/客户生命周期/河流图	viz-echarts
9785	KPMG	瀑布图	利润变化	上年度到本年度的驱动因素	Coral-5	white	waterfall profit	最大变动标注	标注变动项	CT-01	Noto Sans 11	从左到右	毕马威/利润桥接/瀑布图	viz-echarts
10914	IDC	气泡图	IoT平台	x=设备连接数 y=收入 size=利润	Stone-6	white	bubble iot platform	领先标注	四象限标签	CT-01	Noto Sans 10	象限扫描	IDC/IoT平台/气泡图	viz-echarts
10665	Forrester	气泡图	B2B数字体验	x=客户体验 y=数字化能力 size=收入	Sky-6	white	bubble b2b digital experience	领先标注	四象限标签	CT-01	Noto Sans 10	象限扫描	Forrester/B2B体验/气泡图	viz-echarts
6739	Forrester	漏斗图	企业软件采购转化漏斗	从触达到签约的递减转化	Enterprise blue ramp	White	Funnel	高亮最大流失环节	流失率+原因	漏斗	Sans, 8pt	上→下递减	科技,软件,漏斗,转化	viz-svg-flow
3454	BCG Growth-Share	气泡图	BCG增长-份额矩阵：明星/金牛/问题/瘦狗业务定位	经典业务组合框架	#43A047 #1E88E5 #FFB300 #E53935	#FAFAFA	circle	明星绿色气泡	气泡内业务名+增长率	C03 2x2矩阵	Helvetica 12/10	标题→四象限→明星→金牛→退出瘦狗	BCG 气泡图 增长份额 矩阵	viz-echarts
5481	GoogleScholar	h指数演变	学者影响力追踪	学者h指数随时间的增长轨迹	teal,coral,stone	#FFFFFF	面积增长	里程碑标注	标注增长阶段	面积增长	8pt sans	起点→增长→里程碑→现在	h指数面积,学者,增长,里程碑	viz-echarts
12972	城市设计	柱状图	绿化率	各城市建成区绿化率排行	Teal-7	white	horizontal bar urban green rate	TOP标注	标注目标线	CT-01	Noto Sans 11	降序	城市设计/绿化/柱状图	viz-echarts
1554	IFPRI	热力地图	IFPRI —《全球饥饿指数热力图》	各国GHI指数高低分布	绿（安全）→黄→红（严重）	白	世界地图+颜色填充	高亮严重饥饿区域	标注GHI分级	热力地图	8/6pt无衬线	区域扫描	IFPRI/全球饥饿/热力地图/GHI	nature-figure
9511	Nutrition	饼图	每日营养摄入结构	碳水/蛋白/脂肪/纤维/微量元素占比	Teal-7	white	pie slices	超标部分标注	标注推荐比例	CT-01	Noto Sans 11	份额大小	营养/摄入结构/饼图	viz-echarts
1730	CFR	蝴蝶图	CFR —《中美科技竞争：AI/半导体/量子/生物对比》	四大前沿领域双方实力的对称对比	蓝（中国）/红（美国）	白	左右对称条	高亮领先方差异	标注优势方	26-并列比较	8/6pt无衬线	中→左右对比	CFR/中美科技/蝴蝶图/竞争	nature-figure
7953	OpenLayers	矢量地图	多源地理数据叠加	矢量层/栅格层/标注的叠加	OL Blue,Orange,Green	#FFFFFF	多层叠加	关注区域(红框)	标注图层信息	01-单中心	Source Sans 7/6	图层切换	OpenLayers,矢量,叠加	viz-echarts
12200	未来产业	柱状图	研发投入	各国未来产业研发投入排行	Sky-6	white	horizontal bar future industry rd	TOP标注	标注增速	CT-01	Noto Sans 11	降序	未来产业/研发/柱状图	viz-echarts
2919	BP	饼图	全球一次能源结构	煤炭/石油/天然气/核能/可再生占比	#4A90D9,#C72C41,#50C878,#FFB347	白	饼图	高亮最大能源	标注年度变化	饼图	10px/7px	顺时针	能源结构,饼图,BP,一次能源,占比	nature-figure
11584	招聘	折线图	求职热度	各城市求职活跃度的月度	Warm-8	white	multi-line job search	拐点标注	标注拐点标	CT-01	Noto Sans 11	时间轴	招聘/求职热度/折线图	viz-echarts
11349	海关	柱状图	进出口额	各贸易伙伴进出口额	Warm-8	white	horizontal bar trade volume	TOP标注	标注总额	CT-01	Noto Sans 11	降序	海关/进出口额/柱状图	viz-echarts
8158	IAEA	柱状图	全球核能发展	各国的核电站数量和发电量	Nuclear Blue,Green	#FFFFFF	竖向条	大核能(深蓝)	标注GW和TWh	02-双栏	Source Sans 7/6	左→右	IAEA,核能,全球	viz-echarts
3282	JD Logistics	柱状图	京东物流仓储自动化率 vs 人工分拣效率对比	自动化投资回报	#E31837 #00A651	#FFFFFF	bar	自动化红色上升	标注单均成本下降幅度	26 并列比较	Helvetica 14/10	标题→对比→自动化上升→人工下降→成本	京东 柱状图 自动化 效率	viz-echarts
7244	Flexport Trade	桑基图	中美贸易关税影响路径	从关税政策到供应链重构的流向	Tariff impact colors	White	Sankey	高亮点最大转移路径	路径+金额	Flow	Sans, 7pt	左→右贸易流	供应链,关税,桑基,贸易	viz-svg-flow
11178	CF40	瀑布图	稳增长	从当前到目标增速的各驱动因素	Coral-5	white	waterfall growth drivers	最大驱动标注	标注驱动项	CT-01	Noto Sans 11	从左到右	CF40/稳增长/瀑布图	viz-echarts
7248	Nature Climate Adaptation	面积图	气候适应投资缺口趋势	按领域细分的适应投资需求vs实际	Adaptation funding gap	White	Area	高亮点缺口扩大区间	领域+缺口额	Area	Sans, 8pt	时间→缺口变化	气候,适应,面积,投资	viz-echarts
2495	NASA GISS	全球温度异常热力日历	月度温度异常 1880-2024	矩阵式密集数据，全球变暖的条纹图经典可视化	#2B4B8C,#728FCB,#D96557,#993333	#FFFFFF	热力日历	高标最热年份	标注升温幅度	热力条纹	无衬线极紧凑	年份从左到右	温度,NASA,热力,变暖	nature-figure
13119	制造	柱状图	制造业PMI子项	各制造业分项指数排行	Teal-7	white	horizontal bar manufacturing sub-index	TOP标注	标注荣枯线	CT-01	Noto Sans 11	降序	制造/分项/柱状图	viz-echarts
9926	MIT	折线图	AI能力进展	AI基准测试成绩的年度提升	Teal-7	white	line ai capability	突破标注	标注突破标	CT-01	Noto Sans 11	时间轴	MIT/AI进展/折线图	viz-echarts
13216	汽车金融	折线图	渗透率	全国汽车金融渗透率的年度	Sky-6	white	line auto finance penetration	拐点标注	标注拐点标	CT-01	Noto Sans 11	时间轴	汽车金融/渗透/折线图	viz-echarts
12560	人形机器人	柱状图	融资规模	各人形机器人企业融资排行	Sky-6	white	horizontal bar humanoid funding	TOP标注	标注总额	CT-01	Noto Sans 11	降序	人形机器人/融资/柱状图	viz-echarts
6794	World Bank Open	气泡图	全球国家发展水平三维对比	三维国家对比（GDP/寿命/教育）	World Bank colors	White	Bubble	高亮区域代表国家	国名+区域色	Scatter	Sans, 7pt	X→Y→气泡大小	政府,发展,气泡,国家	viz-echarts
11275	CreditSuisse	瀑布图	财富变化	从上年到本年财富总额的各因素	Coral-5	white	waterfall wealth change	最大变动标注	标注变动项	CT-01	Noto Sans 11	从左到右	瑞信/财富变化/瀑布图	viz-echarts
12870	水泥	柱状图	水泥产量	各省市水泥产量排行	Stone-6	white	horizontal bar cement production	TOP标注	标注均值	CT-01	Noto Sans 11	降序	水泥/产量/柱状图	viz-echarts
7262	Hurun Report	柱状图	全球独角兽城市分布排行	分类对比（各城市独角兽数量）	Global unicorn colors	White	Bar	高亮点前三城市	数量+占比	单中心	Bold sans, 9pt	从高到低	政府,独角兽,柱状,城市	viz-echarts
12011	心理	柱状图	睡眠质量	各年龄段睡眠障碍检出率排行	Sky-6	white	horizontal bar sleep disorder	最高标注	标注均值	CT-01	Noto Sans 11	降序	心理/睡眠/柱状图	viz-echarts
367	The New York Times / Malofiej 30 最佳展示作品	点密度地图（Dot Density Map）	Malofiej 金奖 —《纽约时报：美国枪支暴力地图》	每一个点代表一个枪支暴力受害者，让读者从视觉密度的窒息感中理解"这不是统计数字，是密集的生命"			枪击致死事件用橙色实心点，枪击受伤用半透明橙色，人口密度作为灰色底图参照	城市名标注在点密度最高的区域中心，底部放年度汇总条带	全幅美国地图，点层叠加在行政边界之上，底部水平时间轴迷你条带	Sans-serif（Franklin Gothic），城市标注 10px，标题 36px 粗体	第一眼→东海岸和芝加哥区域的橙色密集点群 → 第二眼→单个点放大后看清每个点代表一个人 → 最终理解→城市间密度的数量级差异	点密度地图（Dot Densi,The New Yo		viz-echarts:generate_map_chart
7951	Cesium	3D地球	全球数据3D可视化	卫星/航班/海洋数据的3D地球展示	Cesium Blue,Green,White	#000000	3D球体+数据层	关键路径(高亮)	标注轨道和航线	01-单中心	Source Sans 7/6	3D旋转	Cesium,3D地球,全球	viz-echarts
2144	BCG Insurance	堆叠构成	保险产品利润结构	总量组成及占比分解	#2E2E7E,#FFA200,#0076BA,#AAB7B8	white	分段堆积条	高亮主利润源	标注利润变化	单栏	正文8pt	从下到上构成	BCG、保险、堆叠、利润	nature-figure
1499	FDA	2x2矩阵	FDA —《医疗器械风险分类矩阵》	按风险等级和侵入程度四象限分类	绿（I类）/黄（II类）/橙（III类）/红（IV类）	白	四象限网格	标注各类别代表产品	标注监管路径	C03-2x2矩阵	8/6pt无衬线	象限扫描	FDA/医疗器械/风险分类/矩阵	nature-figure
10705	CHS	气泡图	DRG改革	x=病组数 y=费用控制 size=覆盖	Coral-5	white	bubble drg reform	领先标注	四象限标签	CT-01	Noto Sans 10	象限扫描	医保局/DRG改革/气泡图	viz-echarts
4274	GSMA	移动数据流量堆叠面积图	全球移动数据流量按技术代际演变	2G/3G/4G/5G 数据流量堆叠面积展示代际迁移	Stone 各代色	#FFFFFF	时间序列面积堆叠	高标签流量主力代	代际标注面积内	按流量排序	Helvetica 8pt	下→上 代际迁移	通信 流量 面积 代际	viz-echarts
8484	Mass Spec	气泡图	蛋白质组学鉴定矩阵	各样品的蛋白鉴定数vs覆盖度气泡	MS Blue,Gold	#FFFFFF	气泡(大小=肽段)	多鉴定(大+金)	标注蛋白数和%	01-单中心	Source Sans 7/6	左下→右上	质谱,蛋白组,气泡图	viz-echarts
1285	Airbnb	旅行偏好变迁	《住宿类型偏好：房型选择演变分组条》	展示不同年龄段旅客对各类住宿类型的偏好变化趋势	#FF5A5F #00A699 #FC642D #484848	#FFFFFF	bars	Z世代偏好用珊瑚色	标注增长最快的房型	分组条形+偏好标注	Cerebri Sans 9/7	第一眼→年轻人偏体验型 → 第二眼→家庭偏空间 → 最终理解→需求分化	分组条 旅行 住宿	viz-echarts
7857	DALL-E	热力图	提示词-图像一致性矩阵	各提示词类别的生成一致性热力	DALL-E Rainbow	#FFFFFF	网格热力	高一致(暖色)	标注CLIPScore	01-单中心	Source Sans 7/6	中心→四周	DALL-E,热力图,一致性	viz-echarts
9231	Cloud	柱状图	云计算市场份额	对比全球主要云服务商(IaaS+PaaS)的市场份额和增速	Warm 5阶	白	bar-h	高标Top5云厂商	标注同比增速	横向排序	10/12 无衬线	从高到低	云,市场份额,排名,Cloud	viz-echarts
4729	Plan International	旭日图	儿童权益保护嵌套	领域×国家分层	Plan蓝多色	白	同心环	薄弱领域高亮	标注保护率	旭日	Arial 7pt	由内向外	Plan/儿童/旭日/权益/保护	viz-echarts
155	Tesla	折线图	交付量季度突破	增长爆发	#E82127 #000000	#FFFFFF	line	最新季度红色	拐点标交付数	折线	Helvetica 18/14	标题→折线→爆发→数字	Tesla 折线 交付 增长	viz-echarts:generate_line_chart
9653	Media Tech	折线图	短视频用户时长	各年龄段日均使用时长	Stone-6	white	multi-line	最长标注	标注峰值原因	CT-01	Noto Sans 11	时间轴	传媒科技/时长/趋势	viz-echarts
8965	PE VC	热力图	赛道景气度矩阵	展示各投资赛道在不同季度的景气度评分矩阵	红→黄→绿	白	grid	高标升温赛道	标注降温信号	矩阵热力	9/11 无衬线	从上到下从左到右	赛道,景气度,矩阵,投资	viz-echarts
7927	Streamlit	柱状图	数据应用开发效率	各类型应用的开发时间和性能	Stream Red,Gray	#FFFFFF	分组柱状图	快开发(红色)	标注小时和QPS	02-双栏	Source Sans 7/6	左→右	Streamlit,应用,效率	viz-echarts
7838	Azure Maia	雷达图	自研AI芯片能力评估	训练/推理/内存/互连/软件五维	Maia Blue,Gray	#FFFFFF	五边形雷达	领先维度(深蓝)	标注能力等级	01-单中心	Source Sans 7/6	外→内	Maia,雷达图,Azure	viz-echarts
4733	The Nature Conservancy	面积图	土地保护面积趋势	保护区累积扩张	TNC绿蓝	白	堆叠面积	新增面积突出	标注保护目标	堆叠面积	Arial 8pt	时间线性	TNC/土地/面积/保护/趋势	viz-echarts
11464	社区	柱状图	社区团购	各社区团购平台市场份额	Warm-8	white	stacked bar community group	TOP标注	标注总额	CT-01	Noto Sans 11	降序	社区/社区团购/柱状图	viz-echarts
8670	Telecom	并列比较	5G技术路线对比	对比Sub-6GHz和mmWave两种5G技术路线的优劣	蓝vs橙	白	bar-group	高亮差异最大项	标注适用场景	分组对比	10/12 无衬线	逐项对比	5G,技术,路线,对比	viz-echarts
3668	Nature Ecology	点图(Dot Plot/Strip Plot)	物种数量随栖息地类型分布	每类一个散点叠加，展示原始数据分布	Green 色系不同深浅	#FFFFFF	分类 x 轴，散点 y 轴	高亮异常值	样本量标注下方	按中位数排序	Arial 7pt	左→右 类别对比	学术 生态 物种 原始数据	nature-figure
13433	国企	柱状图	国企利润	各央企利润总额排行	Teal-7	white	horizontal bar soe profit	TOP标注	标注总额	CT-01	Noto Sans 11	降序	国企/利润/柱状图	viz-echarts
11428	文化	柱状图	文化输出	中国文化产品出口各国	Warm-8	white	horizontal bar cultural export	TOP标注	标注增速	CT-01	Noto Sans 11	降序	文化部/文化输出/柱状图	viz-echarts
4348	Altmetric	论文社会影响力散点图	论文学术引用 vs 社会媒体关注	x 轴引用量 y 轴 Altmetric 分数，气泡=期刊 IF	Stone 各学科分色	#FFFFFF	散点气泡	高标签高社会影响论文	论文名标注	按 Altmetric 排序气泡大小	Helvetica 8pt	象限=影响力类型	学术 社会影响 Altmetric 散点	viz-echarts
8903	浙江数据局	折线图	浙江政务服务网活跃度	追踪浙江政务服务网月活用户和使用频次的变化趋势	蓝→紫渐变	白	line	高标增长拐点	标注功能上线节点	多线对比	10/12 无衬线	时间趋势	浙江,政务,活跃,趋势	viz-echarts
4433	Red Hat	堆叠条	混合云采用动机分解	多维度驱动因素	红灰分段	白	堆叠条	安全动机高亮	标注占比	分段堆叠	Arial 8pt	单条分解	RedHat/混合云/堆叠/动机/安全	viz-echarts
8712	HR	热力图	员工满意度热力	展示各部门/各维度员工满意度的矩阵分布	红→黄→绿	白	grid	高亮低满意度区域	标注改进行动	矩阵热力	9/11 无衬线	从上到下从左到右	员工,满意度,部门,热力	viz-echarts
