id	source	chart_type	title	narrative_intent	color_palette	bg	shape	highlight	annotation	composition	typography	reading_path	keywords
045	FT	条形图+误差线	经济预测区间	不确定性表达	#004B87 #D45400 #8B95A2	#FFF1E5	rect	中心值饱和色	误差线标置信区间	01 单中心聚焦	FT Metric 14/11	标题→条形→误差线→区间	FT 条形 误差线 不确定性
046	NYT Upshot	面积图+不确定性	选举结果预测概率带	不确定性可视化	#3668BB rgba(54,104,187,0.2) #E3120B	#FFFFFF	area	预测区间半透明	中位线标概率	NYT Upshot 14/12	标题→面积→概率带→中位	NYT 不确定性 预测 概率
047	Economist	2x2表格+Harvey Ball	政策影响力评估	定性评估网格	#E3120B #0055A5 #000000	#FFFFFF	circle	满格红色半格空心	表格标维度	05 主次嵌套	Times 14/11	标题→表格→满格→结论	Economist Harvey Ball 定性评估
048	Bloomberg	仪表盘	实时交易量vs容量	当前状态vs目标	#00E676 #FF1744 #58A6FF	#0D1117	arc	当前值荧光绿	容量上限红线	01 单中心聚焦	Mono 24/14	标题→仪表盘→当前→上限	Bloomberg 仪表盘 实时 状态
049	FiveThirtyEight	坡度图	支持率前后变化	两组数据变化	#E74C3C #3498DB	#FFFFFF	line	变化大者饱和色	两端标名称+变化	02 左右对比	Helvetica 16/12	标题→坡度→变化最大→对比	FiveThirtyEight 坡度图 变化 对比
050	OWID	 choropleth地图	全球疫苗接种覆盖率	地理空间分布	#1B9E77 #77C88A #D95F02	#FFFFFF	area	覆盖率绿色渐变	国家名+覆盖率	11 地图+插图	Inter 14/12	标题→地图→绿色→覆盖率	OWID 地图 疫苗 全球
051	Material	日历热力图	用户活跃度月度分布	周期性密集数据	#1A73E8 #4285F4 #8AB4F8 rgba(26,115,232,0.1)	#FFFFFF	rect	高活跃深蓝	月标总活跃	17 网格	Material Sans 14/12	标题→日历→深色→峰值	Material 日历 热力 周期
052	IBM Carbon	桑基图	用户旅程从入口到转化	流入流出转化	#0F62FE #00C389 #9F18FF #EE5396	#FFFFFF	flow	最大流蓝色	流上标转化率	01 单中心聚焦	IBM Plex Sans 14/11	标题→桑基→最大流→转化	IBM 桑基 用户旅程 转化
053	Stripe	折线图+多系列	五项SaaS指标月度趋势	多指标趋势	#635BFF #00D924 #FF394B #FFB039 #0073E6	#0A2540	line	核心指标紫色	拐点标事件	01 单中心聚焦	Inter 14/12	标题→折线→紫色→拐点	Stripe 折线 多系列 SaaS
054	Airbnb	树状图	房源类型嵌套占比	多层级占比	#FF5A5F #00A699 #FC642D	#FFFFFF	rect	大类饱和色	矩形内标名称+占比	16 矩形树	Inter Circular 12/10	标题→树状→大类→细分	Airbnb 树状图 嵌套 占比
055	Tufte	斜率图	排名变化从2020到2024	排序变化	#2C3E50 #E74C3C	#FFFFFF	line	变化大者红色	两端标排名	02 左右对比	Garamond 12/10	标题→斜率→下降最大→上升	Tufte 斜率图 排名 变化
056	Nightingale	甘特图	项目里程碑和依赖关系	时间+进度	#6BAED6 #FC9272 #252525	#F5F0E8	rect	关键路径红色	条上标里程碑名	15 甘特	Serif 12/10	标题→甘特→关键路径→依赖	Nightingale 甘特图 项目 里程碑
057	The Pudding	小提琴图+散点	收入分布按教育程度	分布+原始数据	#FF6B6B #4ECDC4 #45B7D1	#FFFFFF	area	高学历饱和色	中位数+散点	04 小 multiples	Inter 14/12	标题→小提琴→中位数→散点	Pudding 小提琴 分布 教育
058	Excalidraw	手绘架构图	系统模块和依赖	结构+关系	#2C3E50 #FFE0B2 #C8E6C9 #BBDEFB	#F5F0E8	rect	核心模块橙色	箭头标依赖	05 主次嵌套	Virgil 手写	标题→核心→依赖→外围	Excalidraw 架构图 手绘 系统
059	Alberto Cairo	面积图+注解	气温异常1880-2024	趋势+事件	#34495E #2980B9 #E74C3C	#FFFFFF	area	异常高温红色	事件标年份+描述	Cairo 14/11	标题→面积→红色→事件	Cairo 面积图 气温 注解
060	Gartner	矩阵表+颜色	技术成熟度评估	定性+定量混合	#43A047 #1E88E5 #FFB300 #E53935	#FAFAFA	rect	成熟度高绿色	单元格标评级	17 网格	Helvetica 12/10	标题→矩阵→绿色→评级	Gartner 矩阵 成熟度 评估
061	内部	金字塔图	人才梯队五层结构	自下而上层级	#001A3A #003366 #0066FF #8B95A2 #C4CDD5	#FFFFFF	rect	顶层饱和深蓝	层标人数+比例	31 金字塔	Helvetica 16/11	标题→塔尖→塔身→塔底	内部 金字塔 人才 层级
062	内部	循环轮	PDCA质量改进闭环	闭环循环	#D45400 #E8A87C #963C00	#FFFFFF	arc	关键步骤Warm500	箭头标流向	34 循环轮	Helvetica 14/11	标题→循环→关键步骤→闭环	内部 循环 PDCA 质量
063	内部	齿轮图	跨部门协作联动机制	依赖联动	#4A4540 #8B8680 #D45400	#FFFFFF	gear	核心齿轮Warm500	齿轮标部门名	39 齿轮	Helvetica 14/11	标题→核心齿轮→联动→外围	内部 齿轮 协作 联动
064	内部	冰山图	客诉问题显性12%隐性88%	显性少隐性多	#8B8680 #D45400 #5E2200	#F5F0E8	triangle	水线以上Coral色	水面标分界线	49 冰山	Helvetica 16/12	标题→水面→水上→水下	内部 冰山 客诉 根因
065	内部	天平图	自研vs外包成本权衡	利弊权衡	#8B8680 #D45400 #E8A87C	#FFFFFF	lever	倾斜侧Warm500	两端标成本数字	42 天平	Helvetica 14/11	标题→天平→倾斜→数字	内部 天平 权衡 自研外包
066	内部	拼图图	团队能力互补	互补完整性	#D45400 #E8A87C #FDE8D8 #963C00	#FFFFFF	puzzle	缺失块红色	拼图块标能力名	40 拼图	Helvetica 14/11	标题→拼图→缺失→补齐	内部 拼图 能力 互补
067	内部	杠杆图	关键杠杆点撬动增长	以小博大	#D45400 #5E2200 #8B8680	#FFFFFF	lever	支点Warm500	支点标杠杆因素	41 杠杆	Helvetica 14/11	标题→杠杆→支点→力臂	内部 杠杆 撬动 增长
068	内部	宇宙图	平台生态核心+轨道+边缘	生态体系	#001A3A #0066FF #8B95A2 #C4CDD5	#FFFFFF	circle	核心Warm700	轨道标业务名	53 宇宙	Helvetica 14/11	标题→核心→轨道→边缘	内部 宇宙 生态 平台
069	内部	树状生长图	人才成长从根到冠	生长发展	#2D6A4F #40916C #74C69D	#FFFFFF	tree	树冠饱和绿	分支标能力	59 树	Helvetica 14/11	标题→树根→树干→树冠	内部 树 人才 成长
070	内部	道路图	战略方向三条路径	路径选择	#D45400 #E8A87C #963C00 #5E2200	#FFFFFF	path	推荐路径Warm500	分叉标选择	71 道路	Helvetica 14/11	标题→起点→分叉→终点	内部 道路 战略 方向
071	内部	工厂图	标准化生产流程	规模化流程	#8B8680 #D45400 #5E2200	#FFFFFF	rect	瓶颈工位红色	工位标步骤+时间	68 工厂	Helvetica 14/11	标题→入口→流水线→出口	内部 工厂 流程 标准化
072	内部	马拉松图	长期竞争耐力赛	持久战	#D45400 #E8A87C #C4CDD5	#FFFFFF	path	领先者Warm500	跑者标竞对名	63 马拉松	Helvetica 14/11	标题→起点→领先者→终点	内部 马拉松 竞争 耐力
073	内部	城市生态图	业务生态多单元共存	生态共存	#D45400 #E8A87C #FDE8D8 #963C00	#FFFFFF	building	核心业务Warm500	建筑标业务名	62 城市	Helvetica 14/11	标题→全景→核心→边缘	内部 城市 生态 共存
074	内部	实验图	假设+验证流程	试点验证	#D45400 #963C00 #8B8680	#FFFFFF	rect	验证成功绿色	步骤标假设+结果	67 实验	Helvetica 14/11	标题→假设→实验→结果	内部 实验 假设 验证
075	内部	书架图	知识积累和能力储备	资源积累	#8B8680 #D45400 #E8A87C	#FFFFFF	shelf	重点书籍Warm500	书目标名称	57 书架	Helvetica 14/11	标题→书架→重点→分类	内部 书架 知识 积累
076	内部	传送带图	流水线式标准化推进	批处理	#8B8680 #D45400 #5E2200	#FFFFFF	rect	关键工序Warm500	工序标步骤+时间	70 传送带	Helvetica 14/11	标题→入口→传送→出口	内部 传送带 流水线 标准
077	内部	机器图	系统化运作机制	机制运转	#4A4540 #8B8680 #D45400	#FFFFFF	gear	核心引擎Warm500	部件标模块名	72 机器	Helvetica 14/11	标题→核心引擎→齿轮→输出	内部 机器 系统 机制
078	内部	迷宫图	复杂决策路径探索	路径复杂度	#8B8680 #D45400 #E8A87C	#FFFFFF	path	正确路径Warm500	入口出口标场景	47 迷宫	Helvetica 14/11	标题→入口→路径→出口	内部 迷宫 决策 路径
079	内部	根系图	根因分析向下延伸	向下扎根	#5E2200 #D45400 #8B8680	#FFFFFF	branch	根因红色	根部标根因名	58 根源	Helvetica 14/11	标题→问题表象→根系→根因	内部 根系 根因 向下
080	内部	循环系统图	资金流动循环	流动循环	#D45400 #E8A87C #FDE8D8	#FFFFFF	flow	主动脉Warm500	节点标部门+金额	60 循环	Helvetica 14/11	标题→心脏→动脉→静脉	内部 循环系统 资金 流动
081	内部	速度仪表盘	KPI健康度总览	状态vs目标	#D45400 #963C00 #8B8680	#FFFFFF	arc	当前值Warm500	表盘标目标值	38 仪表盘	Helvetica 14/11	标题→仪表盘→当前→目标	内部 仪表盘 KPI 健康
082	内部	地铁路线图	多业务线交汇	交叉复用	#D45400 #E8A87C #FDE8D8 #963C00 #5E2200	#FFFFFF	path	换乘节点Warm500	站点标业务名	37 地铁	Helvetica 12/10	标题→线路→换乘→终点	内部 地铁 多线 交汇
083	内部	ISOTYPE	用户构成人群量化	人群量化	#D45400 #E8A87C #FDE8D8	#FFFFFF	icon	核心人群Warm500	图标标百分比	36 ISOTYPE	Helvetica 14/11	标题→人群→核心→尾部	内部 ISOTYPE 人群 量化
084	内部	系谱图	技术演进传承	血缘传承	#8B8680 #D45400 #5E2200	#FFFFFF	branch	主干Warm500	节点标技术+年份	45 系谱	Helvetica 12/10	标题→根→主干→分支	内部 系谱 技术 传承
085	内部	解剖图	组织架构分解	系统拆分	#D45400 #E8A87C #963C00	#FFFFFF	organ	核心部门Warm500	器官标部门名	46 组成	Helvetica 14/11	标题→整体→器官→功能	内部 解剖 组织 拆分
086	内部	三明治图	中间层管理压力	夹层结构	#D45400 #E8A87C #FDE8D8 #963C00	#FFFFFF	rect	中间层Coral色	层标角色+压力	52 三明治	Helvetica 14/11	标题→上层→夹心→下层	内部 三明治 夹层 压力
087	内部	高山图	目标攀登路径	攀登障碍	#D45400 #963C00 #8B8680	#FFFFFF	mountain	顶峰Warm500	障碍标名称	50 高山	Helvetica 14/11	标题→起点→障碍→顶峰	内部 高山 攀登 目标
088	内部	岛屿图	信息孤岛识别	孤立独立	#8B8680 #D45400 #E8A87C	#FFFFFF	island	目标岛屿Warm500	岛屿标系统名	51 岛屿	Helvetica 14/11	标题→全景→目标岛→连接	内部 岛屿 信息孤岛 识别
089	内部	过山车图	业绩波动曲线	起伏波动	#D45400 #E8A87C #963C00	#FFFFFF	line	谷底Coral色	峰值标原因	56 过山车	Helvetica 14/11	标题→波动→谷底→恢复	内部 过山车 业绩 波动
090	内部	进化图	能力从原始到高级	演进升级	#D45400 #E8A87C #FDE8D8 #963C00	#FFFFFF	path	最新阶段Warm500	阶段标版本号	64 进化	Helvetica 14/11	标题→原始→演进→最新	内部 进化 能力 升级
091	内部	聚集图	从分散到集中	资源整合	#8B8680 #D45400 #E8A87C	#FFFFFF	circle	聚集中心Warm500	点标来源+大小	66 聚集	Helvetica 14/11	标题→分散→向心→聚集	内部 聚集 资源 整合
092	内部	成套工具图	管理工具箱	工具集合	#8B8680 #D45400 #E8A87C #FDE8D8	#FFFFFF	tool	核心工具Warm500	工具标方法名	69 成套	Helvetica 14/11	标题→工具箱→核心→辅助	内部 成套工具 方法 集合
093	内部	建筑活动图	同一空间内多活动	分工协作	#D45400 #E8A87C #FDE8D8	#FFFFFF	building	核心活动Warm500	房间标活动+人	61 建筑	Helvetica 14/11	标题→建筑→房间→活动	内部 建筑 分工 多活动
094	内部	食物链图	上下游依赖关系	强弱依赖	#D45400 #963C00 #8B8680	#FFFFFF	chain	顶级Warm500	节点标环节名	65 食物链	Helvetica 14/11	标题→底层→中层→顶层	内部 食物链 上下游 依赖
095	内部	楼梯图	阶梯式成长路径	阶梯进阶	#D45400 #E8A87C #963C00	#FFFFFF	stair	最高阶Warm500	台阶标级别	35 楼梯	Helvetica 14/11	标题→底层→攀登→顶层	内部 楼梯 成长 进阶
096	内部	辐轮图	核心能力辐射多方向	中心辐射	#D45400 #E8A87C #FDE8D8 #963C00	#FFFFFF	wheel	核心Warm500	辐条标能力名	33 辐轮	Helvetica 14/11	标题→核心→辐条→外围	内部 辐轮 核心 辐射
097	内部	头部轮廓图	认知分区思维结构	思维分区	#8B8680 #D45400 #E8A87C	#FFFFFF	head	核心认知Warm500	区域标认知类型	44 头部	Helvetica 14/11	标题→轮廓→分区→核心	内部 头部 认知 分区
098	内部	切尔诺夫脸谱	团队氛围多维状态	情绪综合	#D45400 #E8A87C #963C00	#FFFFFF	face	负面表情Coral色	表情维度标指标	43 脸谱	Helvetica 14/11	标题→表情→负面→正面	内部 脸谱 情绪 多维
099	内部	同心图	由内而外圈层扩散	核心外围	#001A3A #003366 #0066FF #8B95A2	#FFFFFF	circle	核心深蓝	圈层标层级名	03 同心	Helvetica 14/11	标题→核心→内圈→外圈	内部 同心 圈层 扩散
100	内部	圆形图	多维度环形对比	多指标环形	#D45400 #E8A87C #FDE8D8 #963C00	#FFFFFF	ring	最优维度Warm500	环上标指标名	04 圆形	Helvetica 14/11	标题→环形→最优→最差	内部 圆形 环形 多维
101	内部	气泡图	市场定位三维分析	三维数据	#D45400 #E8A87C #963C00 #5E2200	#FFFFFF	circle	目标气泡Warm500	气泡标名称+三维	05 气泡	Helvetica 14/11	标题→气泡→目标→分布	内部 气泡 三维 定位
102	内部	折线图	季度业绩趋势	趋势变化	#D45400 #8B8680	#FFFFFF	line	最新点Warm500	拐点标原因	07 折线	Helvetica 14/11	标题→折线→趋势→拐点	内部 折线 趋势 季度
103	内部	面积图	流量累积趋势	趋势+累积	#D45400 rgba(212,84,0,0.2)	#FFFFFF	area	累积Warm500	顶部标总量	08 面积	Helvetica 14/11	标题→面积→累积→峰值	内部 面积 流量 累积
104	内部	散点图	人效vs成本相关性	两变量关系	#8B8680 #D45400	#FFFFFF	circle	目标区域Warm500	回归线+R²	09 散点	Helvetica 14/11	标题→散点→回归→目标	内部 散点 相关性 人效
105	内部	旭日图	组织架构多层级分解	多层级占比	#D45400 #E8A87C #FDE8D8 #963C00 #5E2200	#FFFFFF	sunburst	最大扇形Warm500	环上标部门	10 旭日	Helvetica 12/10	标题→中心→内环→外环	内部 旭日 多层级 架构
106	内部	扇形图	方向性分布	扇形占比	#D45400 #E8A87C #FDE8D8	#FFFFFF	fan	最大扇Warm500	扇标方向+比例	11 扇形	Helvetica 14/11	标题→扇形→最大→分布	内部 扇形 方向 占比
107	内部	风玫瑰图	客户来源方向强度	方向+强度	#D45400 #E8A87C #963C00	#FFFFFF	petal	最强方向Warm500	方向标来源	12 风玫瑰	Helvetica 14/11	标题→花瓣→最强→方向	内部 风玫瑰 方向 强度
108	内部	柱状图	地区业绩排行	分类对比	#D45400 #8B8680 #E8A87C	#FFFFFF	rect	Top1 Warm500	柱顶标金额	13 柱状	Helvetica 14/11	标题→Top1→排名→尾部	内部 柱状 排行 地区
109	内部	磁带图	多组分段占比对比	分段对比	#D45400 #E8A87C #FDE8D8 #963C00	#FFFFFF	rect	关键段Warm500	段标比例	14 磁带	Helvetica 14/11	标题→分组→关键段→对比	内部 磁带 分段 对比
110	内部	甘特图	项目排期进度	时间+进度	#D45400 #8B8680 #E8A87C	#FFFFFF	bar	关键路径Warm500	条标里程碑	15 甘特	Helvetica 12/10	标题→时间轴→关键路径→进度	内部 甘特 排期 项目
111	内部	矩形树图	预算分配嵌套占比	嵌套占比	#D45400 #E8A87C #FDE8D8 #963C00	#FFFFFF	rect	最大块Warm500	矩形标名称+金额	16 矩形树	Helvetica 12/10	标题→最大→细分→尾部	内部 矩形树 预算 嵌套
